year,trip_type,reason,state,trips
2022,Intrastate,Visiting Friends & Relatives,SA,1250.473
2022,Intrastate,Visiting Friends & Relatives,TAS,407.911
2022,Intrastate,Visiting Friends & Relatives,VIC,6359.116
2022,Intrastate,Visiting Friends & Relatives,WA,2535.856
2023,Interstate,Business,ACT,959.66
2023,Interstate,Business,NSW,2912.64
2023,Interstate,Business,NT,235.77
2023,Interstate,Business,QLD,1752.86
2023,Interstate,Business,SA,770.89
2023,Interstate,Business,VIC,2383.61
2023,Interstate,Business,WA,720.03
2023,Interstate,Holiday,ACT,748.91
2023,Interstate,Holiday,NSW,4376.9
2023,Interstate,Holiday,NT,420.84
2023,Interstate,Holiday,QLD,3367.96
2023,Interstate,Holiday,SA,994.82
2023,Interstate,Holiday,VIC,3005.45
2023,Interstate,Holiday,WA,479.22
2023,Interstate,Other,ACT,325.09
2023,Interstate,Other,NSW,749.23
2023,Interstate,Other,QLD,330.91
2023,Interstate,Other,SA,116.55
2023,Interstate,Other,VIC,407.47
2023,Interstate,Visiting Friends & Relatives,ACT,1274.99
2023,Interstate,Visiting Friends & Relatives,NSW,3616.48
2023,Interstate,Visiting Friends & Relatives,QLD,2392.88
2023,Interstate,Visiting Friends & Relatives,SA,898.1
2023,Interstate,Visiting Friends & Relatives,VIC,2526.89
2023,Interstate,Visiting Friends & Relatives,WA,459.04
2023,Intrastate,Business,NSW,3975.997
2023,Intrastate,Business,NT,222.92
2023,Intrastate,Business,QLD,3791.69
2023,Intrastate,Business,SA,866.91
2023,Intrastate,Business,TAS,279.98
2023,Intrastate,Business,VIC,2122.76
2023,Intrastate,Business,WA,2730.35
2023,Intrastate,Holiday,NSW,10867.75
2023,Intrastate,Holiday,NT,278.87
2023,Intrastate,Holiday,QLD,7216.67
2023,Intrastate,Holiday,SA,2021.6
2023,Intrastate,Holiday,TAS,799.13
2023,Intrastate,Holiday,VIC,10181.24
2023,Intrastate,Holiday,WA,3922.79
2023,Intrastate,Other,NSW,1608.98
2023,Intrastate,Other,QLD,1175.79
2023,Intrastate,Other,SA,313.32
2023,Intrastate,Other,VIC,959.38
2023,Intrastate,Other,WA,600.66
2023,Intrastate,Visiting Friends & Relatives,NSW,9496.29
2023,Intrastate,Visiting Friends & Relatives,QLD,5547.11
2023,Intrastate,Visiting Friends & Relatives,SA,1511.69
2023,Intrastate,Visiting Friends & Relatives,TAS,471.25
2023,Intrastate,Visiting Friends & Relatives,VIC,7230.43
2023,Intrastate,Visiting Friends & Relatives,WA,2237.79
2024,Interstate,Business,ACT,973.6
2024,Interstate,Business,NSW,3177.36
2024,Interstate,Business,NT,349.96
2024,Interstate,Business,QLD,2187.27
2024,Interstate,Business,SA,984.67
2024,Interstate,Business,VIC,2361.28
2024,Interstate,Business,WA,731.75
2024,Interstate,Holiday,ACT,911.79
2024,Interstate,Holiday,NSW,4451.87
2024,Interstate,Holiday,NT,346.65
2024,Interstate,Holiday,QLD,3367.36
2024,Interstate,Holiday,SA,1116.6
2024,Interstate,Holiday,VIC,3088.12
2024,Interstate,Holiday,WA,425.51
2024,Interstate,Other,NSW,629.44
2024,Interstate,Other,QLD,314.19
2024,Interstate,Other,SA,245.09
2024,Interstate,Other,VIC,403.32
2024,Interstate,Visiting Friends & Relatives,ACT,1067.45
2024,Interstate,Visiting Friends & Relatives,NSW,3801.4
2024,Interstate,Visiting Friends & Relatives,QLD,2560.42
2024,Interstate,Visiting Friends & Relatives,SA,879.26
2024,Interstate,Visiting Friends & Relatives,VIC,2385.2
2024,Interstate,Visiting Friends & Relatives,WA,497.75
2024,Intrastate,Business,NSW,4181.13
2024,Intrastate,Business,NT,239.98
2024,Intrastate,Business,QLD,4022.12
2024,Intrastate,Business,SA,748.83
2024,Intrastate,Business,TAS,351.29
2024,Intrastate,Business,VIC,2546.58
2024,Intrastate,Business,WA,2543.02
2024,Intrastate,Holiday,NSW,11327.29
2024,Intrastate,Holiday,NT,178.09
2024,Intrastate,Holiday,QLD,7343.68
2024,Intrastate,Holiday,SA,2055.44
2024,Intrastate,Holiday,TAS,872.67
2024,Intrastate,Holiday,VIC,10605.17
2024,Intrastate,Holiday,WA,3789.06
2024,Intrastate,Other,NSW,1602.89
2024,Intrastate,Other,QLD,1239.33
2024,Intrastate,Other,SA,401.56
2024,Intrastate,Other,VIC,929.25
2024,Intrastate,Other,WA,574.42
2024,Intrastate,Visiting Friends & Relatives,NSW,8957.53
2024,Intrastate,Visiting Friends & Relatives,QLD,5759.57
2024,Intrastate,Visiting Friends & Relatives,SA,1324.64
2024,Intrastate,Visiting Friends & Relatives,TAS,370.32
2024,Intrastate,Visiting Friends & Relatives,VIC,7160.15
2024,Intrastate,Visiting Friends & Relatives,WA,2402.76
